SearchName,Number,Transcript,Speaker,Corpus,gender,Line,LineEnd,MatchId,TargetId,URL,Text,Target stress,Target stress start,Target stress end,Target CELEX phonemes,Target orthography,Target transcript,Target transcript start,Target transcript end,Match segments,Target segments,Target segments start,Target segments end,time_0.5,F1-time_0.5,F2-time_0.5,F3-time_0.5,Error
_^'.*5[^rl].*$_NOT_^ (no)|(oh)|(ohff) $_^5$,1,00-O-f01-mw74.trs,00-O-f01,00-O,F,36.657,40.741,g_179;em_12_171600;n_2502998-n_2503014;p_263;#=es_1_1767434;[0]=ew_0_984855,es_1_1767434,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_984855,our own house,'5n,37.777,37.957,5n,own,own,37.777,37.957,5n,5,37.777,37.877,37.827,405,1381,2486,
_^'.*5[^rl].*$_NOT_^ (no)|(oh)|(ohff) $_^5$,2,00-O-f01-mw74.trs,00-O-f01,00-O,F,168.679,173.088,g_179;em_12_171716;n_2503427-n_2503444;p_263;#=es_1_1760586;[0]=ew_0_983642,es_1_1760586,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_983642,pink coat and,'k5t,172.049,172.279,k5t,coat,coat,172.049,172.279,k5t,5,172.139,172.249,172.194,441,888,2449,
_^'.*5[^rl].*$_NOT_^ (no)|(oh)|(ohff) $_^5$,3,00-O-f01-mw74.trs,00-O-f01,00-O,F,180.344,185.72,g_179;em_12_172292;n_2503471-n_2503483;p_263;#=es_1_1761325;[0]=ew_0_984626,es_1_1761325,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_984626,honestly don't remember,'d5nt,182.484,182.904,d5nt,don't,don't,182.484,182.904,d5nt,5,182.544,182.654,182.599,391,1452,2619,
_^'.*5[^rl].*$_NOT_^ (no)|(oh)|(ohff) $_^5$,4,00-O-f01-mw74.trs,00-O-f01,00-O,F,189.701,193.844,g_179;em_12_171701;n_2503492-n_2503510;p_263;#=es_1_1761285;[0]=ew_0_981802,es_1_1761285,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_981802,I don't know,'d5nt,191.901,192.151,d5nt,don't,don't,191.901,192.151,d5nt,5,191.961,192.051,192.006,469,1512,2448,
_^'.*5[^rl].*$_NOT_^ (no)|(oh)|(ohff) $_^5$,5,00-O-f01-mw74.trs,00-O-f01,00-O,F,274.646,280.022,g_179;em_12_171797;n_2503776-n_2503793;p_263;#=es_1_1761341;[0]=ew_0_986802,es_1_1761341,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_986802,I don't think,'d5nt,275.026,275.276,d5nt,don't,don't,275.026,275.276,d5nt,5,275.086,275.196,275.141,396,1498,2395,
_^'.*5[^rl].*$_NOT_^ (no)|(oh)|(ohff) $_^5$,6,00-O-f01-mw74.trs,00-O-f01,00-O,F,293.807,298.635,g_179;em_12_172313;n_2503842-n_2503861;p_263;#=es_1_1761297;[0]=ew_0_982444,es_1_1761297,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_982444,really don't know,'d5nt,295.497,295.727,d5nt,don't,don't,295.497,295.727,d5nt,5,295.557,295.617,295.587,426,1788,2716,
_^'.*5[^rl].*$_NOT_^ (no)|(oh)|(ohff) $_^5$,7,00-O-f01-mw74.trs,00-O-f01,00-O,F,367.868,372.727,g_179;em_12_171880;n_2504106-n_2504127;p_263;#=es_1_1761289;[0]=ew_0_982103,es_1_1761289,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_982103,I don't know,'d5nt,369.148,369.358,d5nt,don't,don't,369.148,369.358,d5nt,5,369.188,369.288,369.238,410,1575,2414,
_^'.*5[^rl].*$_NOT_^ (no)|(oh)|(ohff) $_^5$,8,00-O-f01-mw74.trs,00-O-f01,00-O,F,381.842,386.043,g_179;em_12_171845;n_2504154-n_2504166;p_263;#=es_1_1856867;[0]=ew_0_1014720,es_1_1856867,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_1014720,Glad Stone bag,'st5n,382.702,383.122,st5n,stone,Stone,382.702,383.122,st5n,5,382.862,382.972,382.917,411,1387,2572,
_^'.*5[^rl].*$_NOT_^ (no)|(oh)|(ohff) $_^5$,9,00-O-f01-mw74.trs,00-O-f01,00-O,F,427.436,432.498,g_179;em_12_171841;n_2504331-n_2504350;p_263;#=es_1_1770623;[0]=ew_0_987423,es_1_1770623,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_987423,I suppose eat,'p5z,430.476,430.776,s@p5z,suppose,suppose,430.326,430.776,s@p5z,5,430.556,430.636,430.596,399,1722,2494,
_^'.*5[^rl].*$_NOT_^ (no)|(oh)|(ohff) $_^5$,10,00-O-f01-mw74.trs,00-O-f01,00-O,F,490.65,494.086,g_179;em_12_171895;n_2504588-n_2504598;p_263;#=es_1_1761321;[0]=ew_0_984480,es_1_1761321,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_984480,I don't I,'d5nt,491.85,492.3,d5nt,don't,don't,491.85,492.3,d5nt,5,491.93,492.02,491.975,413,1479,2646,
