SearchName,Number,Transcript,Speaker,Corpus,gender,Line,LineEnd,MatchId,TargetId,URL,Text,Target stress,Target stress start,Target stress end,Target CELEX phonemes,Target orthography,Target transcript,Target transcript start,Target transcript end,Match segments,Target segments,Target segments start,Target segments end,time_0.5,F1-time_0.5,F2-time_0.5,F3-time_0.5,Error
_^'.*u[^rl].*$_NOT_^(you)|(youse)|(us) $_^u$,1,00-O-f01-mw74.trs,00-O-f01,00-O,F,19.469,23.16,g_179;em_12_172212;n_2502941-n_2502959;p_263;#=es_1_1773346;[0]=ew_0_983852,es_1_1773346,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_983852,we used to,'just,19.629,19.869,just,used,used,19.629,19.869,just,u,19.659,19.689,19.674,318,2325,2668,
_^'.*u[^rl].*$_NOT_^(you)|(youse)|(us) $_^u$,2,00-O-f01-mw74.trs,00-O-f01,00-O,F,77.526,83.759,g_179;em_12_172422;n_2503142-n_2503164;p_263;#=es_1_1773314;[0]=ew_0_982817,es_1_1773314,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_982817,we used to,'just,77.856,78.116,just,used,used,77.856,78.116,just,u,77.916,77.946,77.931,369,2179,2847,
_^'.*u[^rl].*$_NOT_^(you)|(youse)|(us) $_^u$,3,00-O-f01-mw74.trs,00-O-f01,00-O,F,418.286,421.115,g_179;em_12_171698;n_2504296-n_2504310;p_263;#=es_1_1773390;[0]=ew_0_985618,es_1_1773390,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_985618,She used to,'just,418.526,418.746,just,used,used,418.526,418.746,just,u,418.576,418.616,418.596,386,2036,2674,
_^'.*u[^rl].*$_NOT_^(you)|(youse)|(us) $_^u$,4,00-O-f01-mw74.trs,00-O-f01,00-O,F,421.115,424.65,g_179;em_12_171602;n_2504310-n_2504320;p_263;#=es_1_1773278;[0]=ew_0_981696,es_1_1773278,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_981696,They used to,'just,421.195,421.385,just,used,used,421.195,421.385,just,u,421.235,421.275,421.255,382,2170,2628,
_^'.*u[^rl].*$_NOT_^(you)|(youse)|(us) $_^u$,5,00-O-f01-mw74.trs,00-O-f01,00-O,F,427.436,432.498,g_179;em_12_171841;n_2504331-n_2504350;p_263;#=es_1_1773266;[0]=ew_0_981485,es_1_1773266,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_981485,she used to,'just,427.996,428.196,just,used,used,427.996,428.196,just,u,428.026,428.066,428.046,339,2156,2794,
_^'.*u[^rl].*$_NOT_^(you)|(youse)|(us) $_^u$,6,00-O-f01-mw74.trs,00-O-f01,00-O,F,466.128,469.27,g_179;em_12_171963;n_2504493-n_2504508;p_263;#=es_1_1773310;[0]=ew_0_982815,es_1_1773310,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_982815,they used to,'just,466.448,466.658,just,used,used,466.448,466.658,just,u,466.508,466.538,466.523,430,2238,2854,
_^'.*u[^rl].*$_NOT_^(you)|(youse)|(us) $_^u$,7,00-O-f01-mw74.trs,00-O-f01,00-O,F,478.73,480.131,g_179;em_12_172436;n_2504545-n_2504552;p_263;#=es_1_1773286;[0]=ew_0_982023,es_1_1773286,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_982023,people used to,'just,479.23,479.47,just,used,used,479.23,479.47,just,u,479.33,479.36,479.345,374,2133,3052,
_^'.*u[^rl].*$_NOT_^(you)|(youse)|(us) $_^u$,8,00-O-f01-mw74.trs,00-O-f01,00-O,F,509.781,513.833,g_179;em_12_172387;n_2504657-n_2504672;p_263;#=es_1_1773342;[0]=ew_0_983816,es_1_1773342,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_983816,we used to,'just,510.031,510.251,just,used,used,510.031,510.251,just,u,510.081,510.111,510.096,355,2233,2625,
_^'.*u[^rl].*$_NOT_^(you)|(youse)|(us) $_^u$,9,00-O-f01-mw74.trs,00-O-f01,00-O,F,571.019,572.146,g_179;em_12_171899;n_2504878-n_2504882;p_263;#=es_1_1761999;[0]=ew_0_984117,es_1_1761999,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_984117,Excuse me.,'skjus,571.229,571.459,Ikskjus,excuse,Excuse,571.129,571.459,Ikskjus,u,571.349,571.389,571.369,378,2225,3166,
_^'.*u[^rl].*$_NOT_^(you)|(youse)|(us) $_^u$,10,00-O-f01-mw74.trs,00-O-f01,00-O,F,574.994,579.349,g_179;em_12_171950;n_2504887-n_2504901;p_263;#=es_1_1773410;[0]=ew_0_986436,es_1_1773410,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_986436,milk used to,'just,577.624,577.804,just,used,used,577.624,577.804,just,u,577.654,577.684,577.669,396,2053,3147,
