SearchName,Number,Transcript,Speaker,Corpus,gender,Line,LineEnd,MatchId,TargetId,URL,Text,Target stress,Target stress start,Target stress end,Target CELEX phonemes,Target orthography,Target transcript,Target transcript start,Target transcript end,Match segments,Target segments,Target segments start,Target segments end,time_0.5,F1-time_0.5,F2-time_0.5,F3-time_0.5,Error
_^'.*{[^rl].*$_NOT_^(at)|(and)|(an)|(as)|(had)|(have)$_^{$,1,00-O-f01-mw74.trs,00-O-f01,00-O,F,19.469,23.16,g_179;em_12_172212;n_2502941-n_2502959;p_263;#=es_1_1759165;[0]=ew_0_984550,es_1_1759165,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_984550,Our back door,'b{k,20.869,21.169,b{k,back,back,20.869,21.169,b{k,{,20.919,21.139,21.029,686,1868,2441,
_^'.*{[^rl].*$_NOT_^(at)|(and)|(an)|(as)|(had)|(have)$_^{$,2,00-O-f01-mw74.trs,00-O-f01,00-O,F,52.839,56.264,g_179;em_12_172124;n_2503056-n_2503066;p_263;#=es_1_1769866;[0]=ew_0_983620,es_1_1769866,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_983620,"getting smacked for,",'sm{kt,54.809,55.429,sm{kt,smacked,smacked,54.809,55.429,sm{kt,{,55.059,55.329,55.194,774,1724,2859,
_^'.*{[^rl].*$_NOT_^(at)|(and)|(an)|(as)|(had)|(have)$_^{$,3,00-O-f01-mw74.trs,00-O-f01,00-O,F,56.264,61.704,g_179;em_12_171802;n_2503066-n_2503083;p_263;#=es_1_1769871;[0]=ew_0_984372,es_1_1769871,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_984372,got smacked eh,'sm{kt,59.104,59.744,sm{kt,smacked,smacked,59.104,59.744,sm{kt,{,59.304,59.584,59.444,794,1677,3179,
_^'.*{[^rl].*$_NOT_^(at)|(and)|(an)|(as)|(had)|(have)$_^{$,4,00-O-f01-mw74.trs,00-O-f01,00-O,F,63.479,69.019,g_179;em_12_171696;n_2503092-n_2503109;p_263;#=es_1_1760335;[0]=ew_0_987023,es_1_1760335,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_987023,that cat' it,'k{t,67.069,67.429,k{t,cat,cat',67.069,67.429,k{t,{,67.109,67.339,67.224,552,1688,2930,
_^'.*{[^rl].*$_NOT_^(at)|(and)|(an)|(as)|(had)|(have)$_^{$,5,00-O-f01-mw74.trs,00-O-f01,00-O,F,117.159,118.507,g_179;em_12_171710;n_2503263-n_2503269;p_263;#=es_1_1759135;[0]=ew_0_983681,es_1_1759135,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_983681,come back.,'b{k,117.899,118.349,b{k,back,back.,117.899,118.349,b{k,{,117.959,118.279,118.119,666,1591,3412,
_^'.*{[^rl].*$_NOT_^(at)|(and)|(an)|(as)|(had)|(have)$_^{$,6,00-O-f01-mw74.trs,00-O-f01,00-O,F,124.36,131.553,g_179;em_12_171799;n_2503291-n_2503313;p_263;#=es_1_1757582;[0]=ew_0_987377,es_1_1757582,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_987377,soft actually.,'{k,130.9,131.09,{kJ9lI,actually,actually.,130.9,131.34,{kJ9lI,{,130.9,131.06,130.98,691,1631,3195,
_^'.*{[^rl].*$_NOT_^(at)|(and)|(an)|(as)|(had)|(have)$_^{$,7,00-O-f01-mw74.trs,00-O-f01,00-O,F,168.679,173.088,g_179;em_12_171716;n_2503427-n_2503444;p_263;#=es_1_1763343;[0]=ew_0_983473,es_1_1763343,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_983473,and hat,'h{t,172.419,172.889,h{t,hat,hat,172.419,172.889,h{t,{,172.499,172.789,172.644,807,1564,3503,
_^'.*{[^rl].*$_NOT_^(at)|(and)|(an)|(as)|(had)|(have)$_^{$,8,00-O-f01-mw74.trs,00-O-f01,00-O,F,219.011,221.256,g_179;em_12_172395;n_2503592-n_2503603;p_263;#=es_1_1759159;[0]=ew_0_984487,es_1_1759159,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_984487,come back when,'b{k,219.691,219.931,b{k,back,back,219.691,219.931,b{k,{,219.741,219.901,219.821,613,1692,3022,
_^'.*{[^rl].*$_NOT_^(at)|(and)|(an)|(as)|(had)|(have)$_^{$,9,00-O-f01-mw74.trs,00-O-f01,00-O,F,320.397,324.064,g_179;em_12_171911;n_2503945-n_2503957;p_263;#=es_1_1767858;[0]=ew_0_987236,es_1_1767858,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_987236,having practices,'pr{k,323.057,323.377,pr{ktIsIz,practices,practices,323.057,323.867,pr{ktIsIz,{,323.147,323.347,323.247,790,1772,2994,
_^'.*{[^rl].*$_NOT_^(at)|(and)|(an)|(as)|(had)|(have)$_^{$,10,00-O-f01-mw74.trs,00-O-f01,00-O,F,337.286,342.778,g_179;em_12_172139;n_2504015-n_2504037;p_263;#=es_1_1759667;[0]=ew_0_986605,es_1_1759667,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_986605,"were black, the",'bl{k,340.716,341.296,bl{k,black,"black,",340.716,341.296,bl{k,{,340.936,341.216,341.076,694,1905,2785,
_^'.*{[^rl].*$_NOT_^(at)|(and)|(an)|(as)|(had)|(have)$_^{$,11,00-O-f01-mw74.trs,00-O-f01,00-O,F,367.868,372.727,g_179;em_12_171880;n_2504106-n_2504127;p_263;#=es_1_1771249;[0]=ew_0_982442,es_1_1771249,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_982442,"Britain. That's what,",'D{ts,368.548,368.888,D{ts,that's,That's,368.548,368.888,D{ts,{,368.628,368.788,368.708,843,1575,2841,
_^'.*{[^rl].*$_NOT_^(at)|(and)|(an)|(as)|(had)|(have)$_^{$,12,00-O-f01-mw74.trs,00-O-f01,00-O,F,367.868,372.727,g_179;em_12_171880;n_2504106-n_2504127;p_263;#=es_1_1771257;[0]=ew_0_982974,es_1_1771257,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_982974,but that's what,'D{ts,370.888,371.168,D{ts,that's,that's,370.888,371.168,D{ts,{,370.918,371.038,370.978,749,1581,2457,
_^'.*{[^rl].*$_NOT_^(at)|(and)|(an)|(as)|(had)|(have)$_^{$,13,00-O-f01-mw74.trs,00-O-f01,00-O,F,375.656,379.737,g_179;em_12_172253;n_2504133-n_2504147;p_263;#=es_1_1759123;[0]=ew_0_983403,es_1_1759123,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_983403,the back door,'b{k,377.176,377.476,b{k,back,back,377.176,377.476,b{k,{,377.226,377.426,377.326,694,1657,2821,
