SearchName,Number,Transcript,Speaker,Corpus,gender,Line,LineEnd,MatchId,TargetId,URL,Text,Target stress,Target stress start,Target stress end,Target CELEX phonemes,Target orthography,Target transcript,Target transcript start,Target transcript end,Match segments,Target segments,Target segments start,Target segments end,time_0.5,F1-time_0.5,F2-time_0.5,F3-time_0.5,Error
_^'.*Q[^rl].*$_NOT_^(was)|(from)|(of)|(got)|(on)$_^Q$,1,00-O-f01-mw74.trs,00-O-f01,00-O,F,23.772,26.154,g_179;em_12_171695;n_2502962-n_2502973;p_263;#=es_1_1757545;[0]=ew_0_985023,es_1_1757545,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_985023,go across to,'krQs,24.702,25.002,@krQs,across,across,24.632,25.002,@krQs,Q,24.812,24.872,24.842,442,1405,2387,
_^'.*Q[^rl].*$_NOT_^(was)|(from)|(of)|(got)|(on)$_^Q$,2,00-O-f01-mw74.trs,00-O-f01,00-O,F,26.592,31.486,g_179;em_12_171703;n_2502976-n_2502992;p_263;#=es_1_1774826;[0]=ew_0_986008,es_1_1774826,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_986008,fae what I,'wQt,30.272,30.412,wQt,what,what,30.272,30.412,wQt,Q,30.332,30.382,30.357,527,1172,2555,
_^'.*Q[^rl].*$_NOT_^(was)|(from)|(of)|(got)|(on)$_^Q$,3,00-O-f01-mw74.trs,00-O-f01,00-O,F,88.411,92.901,g_179;em_12_172051;n_2503173-n_2503189;p_263;#=es_1_1759707;[0]=ew_0_986937,es_1_1759707,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_986937,been bombed.,'bQmd,92.331,92.731,bQmd,bombed,bombed.,92.331,92.731,bQmd,Q,92.381,92.521,92.451,448,992,2960,
_^'.*Q[^rl].*$_NOT_^(was)|(from)|(of)|(got)|(on)$_^Q$,4,00-O-f01-mw74.trs,00-O-f01,00-O,F,106.618,108.778,g_179;em_12_172316;n_2503238-n_2503245;p_263;#=es_1_1759699;[0]=ew_0_982467,es_1_1759699,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_982467,something bombed there.,'bQmd,107.828,108.238,bQmd,bombed,bombed,107.828,108.238,bQmd,Q,107.878,108.008,107.943,443,977,2898,
_^'.*Q[^rl].*$_NOT_^(was)|(from)|(of)|(got)|(on)$_^Q$,5,00-O-f01-mw74.trs,00-O-f01,00-O,F,168.679,173.088,g_179;em_12_171716;n_2503427-n_2503444;p_263;#=es_1_1774802;[0]=ew_0_984931,es_1_1774802,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_984931,from what she,'wQt,169.579,169.759,wQt,what,what,169.579,169.759,wQt,Q,169.689,169.729,169.709,497,1751,2465,
_^'.*Q[^rl].*$_NOT_^(was)|(from)|(of)|(got)|(on)$_^Q$,6,00-O-f01-mw74.trs,00-O-f01,00-O,F,274.646,280.022,g_179;em_12_171797;n_2503776-n_2503793;p_263;#=es_1_1774781;[0]=ew_0_982624,es_1_1774781,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_982624,knew what ship,'wQt,277.696,277.826,wQt,what,what,277.696,277.826,wQt,Q,277.746,277.796,277.771,536,1321,2474,
_^'.*Q[^rl].*$_NOT_^(was)|(from)|(of)|(got)|(on)$_^Q$,7,00-O-f01-mw74.trs,00-O-f01,00-O,F,293.807,298.635,g_179;em_12_172313;n_2503842-n_2503861;p_263;#=es_1_1759367;[0]=ew_0_981848,es_1_1759367,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_981848,honest because I,'kQz,297.737,297.947,bIkQz,because,because,297.667,297.947,bIkQz,Q,297.807,297.847,297.827,359,1802,2762,
_^'.*Q[^rl].*$_NOT_^(was)|(from)|(of)|(got)|(on)$_^Q$,8,00-O-f01-mw74.trs,00-O-f01,00-O,F,367.868,372.727,g_179;em_12_171880;n_2504106-n_2504127;p_263;#=es_1_1774805;[0]=ew_0_985203,es_1_1774805,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_985203,"That's what, I",'wQt,368.888,368.978,wQt,what,"what,",368.888,368.978,wQt,Q,368.918,368.948,368.933,501,1525,2810,
_^'.*Q[^rl].*$_NOT_^(was)|(from)|(of)|(got)|(on)$_^Q$,9,00-O-f01-mw74.trs,00-O-f01,00-O,F,367.868,372.727,g_179;em_12_171880;n_2504106-n_2504127;p_263;#=es_1_1774763;[0]=ew_0_981830,es_1_1774763,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_981830,that's what they,'wQt,371.168,371.318,wQt,what,what,371.168,371.318,wQt,Q,371.198,371.248,371.223,427,1639,2874,
_^'.*Q[^rl].*$_NOT_^(was)|(from)|(of)|(got)|(on)$_^Q$,10,00-O-f01-mw74.trs,00-O-f01,00-O,F,414.411,418.286,g_179;em_12_171971;n_2504280-n_2504296;p_263;#=es_1_1759447;[0]=ew_0_986191,es_1_1759447,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_986191,Because I,'kQz,414.611,414.811,bIkQz,because,Because,414.431,414.811,bIkQz,Q,414.681,414.721,414.701,430,1918,2660,
