SearchName,Number,Transcript,Speaker,Corpus,gender,Line,LineEnd,MatchId,TargetId,Text,Target stress,Target stress start,Target stress end,Target CELEX phonemes,Target orthography,Target transcript,Target transcript start,Target transcript end,Match segments,Target segments,Target segments start,Target segments end,time_0.5,F1-time_0.5,F2-time_0.5,F3-time_0.5,Error
_^'.*i[^rl].*$_NOT_^(the)|(he)|(she)|(we)|(be)|(me)|(tae)$_^i$,1,00-O-f01-mw74.trs,00-O-f01,00-O,F,101.978,106.168,g_179;em_12_172429;n_2503217-n_2503235;p_263;#=es_1_1770453;[0]=ew_0_982690,es_1_1770453,Norfolk Street or,'strit,103.348,103.658,strit,street,Street,103.348,103.658,strit,i,103.538,103.618,103.578,392,2255,2975,
_^'.*i[^rl].*$_NOT_^(the)|(he)|(she)|(we)|(be)|(me)|(tae)$_^i$,2,00-O-f01-mw74.trs,00-O-f01,00-O,F,101.978,106.168,g_179;em_12_172429;n_2503217-n_2503235;p_263;#=es_1_1770483;[0]=ew_0_983304,es_1_1770483,"Nelson Street, Nelson",'strit,104.138,104.498,strit,street,"Street,",104.138,104.498,strit,i,104.378,104.408,104.393,378,2326,3015,
_^'.*i[^rl].*$_NOT_^(the)|(he)|(she)|(we)|(be)|(me)|(tae)$_^i$,3,00-O-f01-mw74.trs,00-O-f01,00-O,F,101.978,106.168,g_179;em_12_172429;n_2503217-n_2503235;p_263;#=es_1_1770478;[0]=ew_0_983284,es_1_1770478,Nelson Street I,'strit,105.028,105.338,strit,street,Street,105.028,105.338,strit,i,105.238,105.308,105.273,386,2293,3061,
_^'.*i[^rl].*$_NOT_^(the)|(he)|(she)|(we)|(be)|(me)|(tae)$_^i$,4,00-O-f01-mw74.trs,00-O-f01,00-O,F,219.011,221.256,g_179;em_12_172395;n_2503592-n_2503603;p_263;#=es_1_1762444;[0]=ew_0_985565,es_1_1762444,about fourteen,'tin,220.781,221.151,f$tin,fourteen,fourteen,220.511,221.151,f$tin,i,220.921,220.991,220.956,340,2198,3103,
_^'.*i[^rl].*$_NOT_^(the)|(he)|(she)|(we)|(be)|(me)|(tae)$_^i$,5,00-O-f01-mw74.trs,00-O-f01,00-O,F,239.314,242.317,g_179;em_12_171913;n_2503659-n_2503670;p_263;#=es_1_1761556;[0]=ew_0_984635,es_1_1761556,round each other. ,'iJ,241.734,242.004,iJ,each,each,241.734,242.004,iJ,i,241.734,241.884,241.809,371,2404,3323,
_^'.*i[^rl].*$_NOT_^(the)|(he)|(she)|(we)|(be)|(me)|(tae)$_^i$,6,00-O-f01-mw74.trs,00-O-f01,00-O,F,280.819,285.871,g_179;em_12_171832;n_2503796-n_2503816;p_263;#=es_1_1768335;[0]=ew_0_986428,es_1_1768335,great relief to,'lif,283.379,283.619,rIlif,relief,relief,283.319,283.619,rIlif,i,283.449,283.539,283.494,365,2168,2709,
_^'.*i[^rl].*$_NOT_^(the)|(he)|(she)|(we)|(be)|(me)|(tae)$_^i$,7,00-O-f01-mw74.trs,00-O-f01,00-O,F,393.112,398.04,g_179;em_12_172231;n_2504191-n_2504210;p_263;#=es_1_1767686;[0]=ew_0_986062,es_1_1767686,a piece and,'pis,396.162,396.452,pis,piece,piece,396.162,396.452,pis,i,396.272,396.302,396.287,2274,3290,4558,
_^'.*i[^rl].*$_NOT_^(the)|(he)|(she)|(we)|(be)|(me)|(tae)$_^i$,8,00-O-f01-mw74.trs,00-O-f01,00-O,F,427.436,432.498,g_179;em_12_171841;n_2504331-n_2504350;p_263;#=es_1_1761566;[0]=ew_0_984376,es_1_1761566,suppose eat the,'it,430.776,430.956,it,eat,eat,430.776,430.956,it,i,430.776,430.926,430.851,318,2394,2850,
_^'.*i[^rl].*$_NOT_^(the)|(he)|(she)|(we)|(be)|(me)|(tae)$_^i$,9,00-O-f01-mw74.trs,00-O-f01,00-O,F,478.73,480.131,g_179;em_12_172436;n_2504545-n_2504552;p_263;#=es_1_1767596;[0]=ew_0_987542,es_1_1767596,And people used,'pip,478.97,479.19,pipP,people,people,478.97,479.23,pipP,i,479.04,479.11,479.075,384,2207,2683,
_^'.*i[^rl].*$_NOT_^(the)|(he)|(she)|(we)|(be)|(me)|(tae)$_^i$,10,00-O-f01-mw74.trs,00-O-f01,00-O,F,533.531,539.5,g_179;em_12_171998;n_2504730-n_2504742;p_263;#=es_1_1760521;[0]=ew_0_986688,es_1_1760521,"getting cleaned, and",'klind,535.741,535.901,klind,cleaned,"cleaned,",535.741,535.901,klind,i,535.801,535.831,535.816,251,2075,3403,
_^'.*i[^rl].*$_NOT_^(the)|(he)|(she)|(we)|(be)|(me)|(tae)$_^i$,11,00-O-f01-mw74.trs,00-O-f01,00-O,F,550.908,553.642,g_179;em_12_172192;n_2504792-n_2504803;p_263;#=es_1_1770438;[0]=ew_0_982228,es_1_1770438,the street would,'strit,553.068,553.498,strit,street,street,553.068,553.498,strit,i,553.278,553.448,553.363,330,2412,2573,
_^'.*i[^rl].*$_NOT_^(the)|(he)|(she)|(we)|(be)|(me)|(tae)$_^i$,12,00-O-f01-mw74.trs,00-O-f01,00-O,F,667.277,669.263,g_179;em_12_172480;n_2505203-n_2505209;p_263;#=es_1_1769321;[0]=ew_0_982246,es_1_1769321,and seek. Kick,'sik,668.617,668.997,sik,seek,seek.,668.617,668.997,sik,i,668.787,668.947,668.867,400,2521,3186,
_^'.*i[^rl].*$_NOT_^(the)|(he)|(she)|(we)|(be)|(me)|(tae)$_^i$,13,00-O-f01-mw74.trs,00-O-f01,00-O,F,683.542,689.824,g_179;em_12_171946;n_2505280-n_2505304;p_263;#=es_1_1761554;[0]=ew_0_981491,es_1_1761554,"fae each other,",'iJ,685.732,685.962,iJ,each,each,685.732,685.962,iJ,i,685.732,685.862,685.797,359,2446,3265,
_^'.*i[^rl].*$_NOT_^(the)|(he)|(she)|(we)|(be)|(me)|(tae)$_^i$,14,00-O-f01-mw74.trs,00-O-f01,00-O,F,739.693,747.943,g_179;em_12_171612;n_2505468-n_2505494;p_263;#=es_1_1770503;[0]=ew_0_983928,es_1_1770503,Turriff Street there,'strit,741.573,742.153,strit,street,Street,741.573,742.153,strit,i,741.853,742.113,741.983,363,2383,3010,
