SearchName,Number,Transcript,Speaker,Corpus,gender,Line,LineEnd,MatchId,TargetId,URL,Text,Target stress,Target stress start,Target stress end,Target CELEX phonemes,Target orthography,Target transcript,Target transcript start,Target transcript end,Match segments,Target segments,Target segments start,Target segments end,time_0.5,F1-time_0.5,F2-time_0.5,F3-time_0.5,Error
_^'.*1[^rl].*$_NOT_^(a)|(eh)|(ma)|(am) $_^1$,1,00-O-f01-mw74.trs,00-O-f01,00-O,F,16.701,19.469,g_179;em_12_172144;n_2502931-n_2502941;p_263;#=es_1_1768157;[0]=ew_0_986762,es_1_1768157,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_986762,air raid ehm ,'r1d,18.061,18.451,r1d,raid,raid,18.061,18.451,r1d,1,18.121,18.371,18.246,316,2396,2805,
_^'.*1[^rl].*$_NOT_^(a)|(eh)|(ma)|(am) $_^1$,2,00-O-f01-mw74.trs,00-O-f01,00-O,F,36.657,40.741,g_179;em_12_171600;n_2502998-n_2503014;p_263;#=es_1_1770326;[0]=ew_0_984506,es_1_1770326,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_984506,we stayed in,'st1d,37.187,37.537,st1d,stayed,stayed,37.187,37.537,st1d,1,37.367,37.507,37.437,362,2418,3000,
_^'.*1[^rl].*$_NOT_^(a)|(eh)|(ma)|(am) $_^1$,3,00-O-f01-mw74.trs,00-O-f01,00-O,F,96.838,101.978,g_179;em_12_172284;n_2503204-n_2503217;p_263;#=es_1_1773432;[0]=ew_0_983342,es_1_1773432,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_983342,also vaguely remember,'v1g,97.678,98.198,v1glI,vaguely,vaguely,97.678,98.388,v1glI,1,97.868,98.088,97.978,392,2354,3189,
_^'.*1[^rl].*$_NOT_^(a)|(eh)|(ma)|(am) $_^1$,4,00-O-f01-mw74.trs,00-O-f01,00-O,F,173.62,175.351,g_179;em_12_172404;n_2503448-n_2503457;p_263;#=es_1_1774237;[0]=ew_0_982332,es_1_1774237,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_982332,tae wave her,'w1v,174.29,174.52,w1v,wave,wave,174.29,174.52,w1v,1,174.32,174.42,174.37,397,2404,2473,
_^'.*1[^rl].*$_NOT_^(a)|(eh)|(ma)|(am) $_^1$,5,00-O-f01-mw74.trs,00-O-f01,00-O,F,185.72,188.279,g_179;em_12_172482;n_2503483-n_2503490;p_263;#=es_1_1773437;[0]=ew_0_985355,es_1_1773437,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_985355,I vaguely remember,'v1g,186.15,186.72,v1glI,vaguely,vaguely,186.15,186.83,v1glI,1,186.36,186.62,186.49,454,2493,3159,
_^'.*1[^rl].*$_NOT_^(a)|(eh)|(ma)|(am) $_^1$,6,00-O-f01-mw74.trs,00-O-f01,00-O,F,280.819,285.871,g_179;em_12_171832;n_2503796-n_2503816;p_263;#=es_1_1763132;[0]=ew_0_983680,es_1_1763132,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_983680,a great relief,'gr1t,283.019,283.319,gr1t,great,great,283.019,283.319,gr1t,1,283.119,283.269,283.194,367,2391,3002,
_^'.*1[^rl].*$_NOT_^(a)|(eh)|(ma)|(am) $_^1$,7,00-O-f01-mw74.trs,00-O-f01,00-O,F,337.286,342.778,g_179;em_12_172139;n_2504015-n_2504037;p_263;#=es_1_1769071;[0]=ew_0_981974,es_1_1769071,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_981974,feel safe in,'s1f,337.406,337.856,s1f,safe,safe,337.406,337.856,s1f,1,337.596,337.786,337.691,361,2429,3145,
_^'.*1[^rl].*$_NOT_^(a)|(eh)|(ma)|(am) $_^1$,8,00-O-f01-mw74.trs,00-O-f01,00-O,F,367.868,372.727,g_179;em_12_171880;n_2504106-n_2504127;p_263;#=es_1_1766344;[0]=ew_0_981940,es_1_1766344,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_981940,true name but,'n1m,370.378,370.728,n1m,name,name,370.378,370.728,n1m,1,370.428,370.628,370.528,389,2390,2993,
_^'.*1[^rl].*$_NOT_^(a)|(eh)|(ma)|(am) $_^1$,9,00-O-f01-mw74.trs,00-O-f01,00-O,F,480.131,482.427,g_179;em_12_171921;n_2504552-n_2504560;p_263;#=es_1_1858163;[0]=ew_0_981615,es_1_1858163,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_981615,or ha'pennies out,'h1p,480.791,481.061,h1pniz,ha'pennies,ha'pennies,480.791,481.411,h1pniz,1,480.841,481.031,480.936,380,2328,2702,
_^'.*1[^rl].*$_NOT_^(a)|(eh)|(ma)|(am) $_^1$,10,00-O-f01-mw74.trs,00-O-f01,00-O,F,509.781,513.833,g_179;em_12_172387;n_2504657-n_2504672;p_263;#=es_1_1766359;[0]=ew_0_987510,es_1_1766359,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_987510,his name was,'n1m,512.381,512.701,n1m,name,name,512.381,512.701,n1m,1,512.411,512.541,512.476,419,1798,2786,
_^'.*1[^rl].*$_NOT_^(a)|(eh)|(ma)|(am) $_^1$,11,00-O-f01-mw74.trs,00-O-f01,00-O,F,519.044,526.485,g_179;em_12_171648;n_2504687-n_2504711;p_263;#=es_1_1766356;[0]=ew_0_984780,es_1_1766356,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_984780,the name of,'n1m,522.174,522.944,n1m,name,name,522.174,522.944,n1m,1,522.604,522.884,522.744,339,1858,2977,
_^'.*1[^rl].*$_NOT_^(a)|(eh)|(ma)|(am) $_^1$,12,00-O-f01-mw74.trs,00-O-f01,00-O,F,553.642,560.783,g_179;em_12_171541;n_2504803-n_2504829;p_263;#=es_1_1763140;[0]=ew_0_987212,es_1_1763140,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_987212,was great seeing,'gr1t,556.262,556.662,gr1t,great,great,556.262,556.662,gr1t,1,556.372,556.612,556.492,398,2469,3242,
_^'.*1[^rl].*$_NOT_^(a)|(eh)|(ma)|(am) $_^1$,13,00-O-f01-mw74.trs,00-O-f01,00-O,F,619.828,625.234,g_179;em_12_171599;n_2505052-n_2505074;p_263;#=es_1_1762705;[0]=ew_0_987176,es_1_1762705,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_987176,or gave her,'g1v,623.508,623.668,g1v,gave,gave,623.508,623.668,g1v,1,623.558,623.638,623.598,451,2273,2318,
_^'.*1[^rl].*$_NOT_^(a)|(eh)|(ma)|(am) $_^1$,14,00-O-f01-mw74.trs,00-O-f01,00-O,F,705.917,711.137,g_179;em_12_171725;n_2505357-n_2505377;p_263;#=es_1_1760157;[0]=ew_0_983740,es_1_1760157,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_983740,we came out,'k1m,709.427,709.567,k1m,came,came,709.427,709.567,k1m,1,709.457,709.537,709.497,477,2150,2592,
_^'.*1[^rl].*$_NOT_^(a)|(eh)|(ma)|(am) $_^1$,15,00-O-f01-mw74.trs,00-O-f01,00-O,F,734.29,738.349,g_179;em_12_172296;n_2505452-n_2505465;p_263;#=es_1_1762699;[0]=ew_0_986397,es_1_1762699,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_986397,boy's gate as,'g1t,737.09,737.44,g1t,gate,gate,737.09,737.44,g1t,1,737.14,737.39,737.265,364,2451,2469,
_^'.*1[^rl].*$_NOT_^(a)|(eh)|(ma)|(am) $_^1$,16,00-O-f01-mw74.trs,00-O-f01,00-O,F,748.537,753.052,g_179;em_12_171684;n_2505497-n_2505514;p_263;#=es_1_1760408;[0]=ew_0_983603,es_1_1760408,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_983603,get chased for,'J1st,749.377,749.917,J1st,chased,chased,749.377,749.917,J1st,1,749.517,749.647,749.582,372,2341,3009,
_^'.*1[^rl].*$_NOT_^(a)|(eh)|(ma)|(am) $_^1$,17,00-O-f01-mw74.trs,00-O-f01,00-O,F,759.994,764.482,g_179;em_12_171517;n_2505539-n_2505551;p_263;#=es_1_1762696;[0]=ew_0_985988,es_1_1762696,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=179#ew_0_985988,boy's gate I,'g1t,763.904,764.354,g1t,gate,gate,763.904,764.354,g1t,1,763.954,764.314,764.134,358,2437,2962,
