SearchName,Number,Transcript,Speaker,Corpus,gender,Line,LineEnd,MatchId,TargetId,URL,Text,Target stress,Target stress start,Target stress end,Target CELEX phonemes,Target orthography,Target transcript,Target transcript start,Target transcript end,Match segments,Target segments,Target segments start,Target segments end,time_0.5,F1-time_0.5,F2-time_0.5,F3-time_0.5,Error
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,1141,70-O-f03-blib.trs,70-O-f03,70-O,F,2071.488,2073.525,g_102;em_12_98891;n_790471-n_790476;p_35;#=es_1_97004;[0]=ew_0_590126,es_1_97004,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=102#ew_0_590126,didn't   become very,'kVm,2071.638,2071.938,bIkVm,become, become,2071.508,2071.938,bIkVm,V,2071.728,2071.808,2071.768,584,1596,2678,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,1072,70-O-f03-blib.trs,70-O-f03,70-O,F,693.959,696.218,g_102;em_12_98584;n_785529-n_785535;p_35;#=es_1_149224;[0]=ew_0_589587,es_1_149224,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=102#ew_0_589587,"eh,   chums all",'JVmz,694.649,695.109,JVmz,chums, chums,694.649,695.109,JVmz,V,694.799,694.949,694.874,143,923,1760,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,1826,80-O-f03-clbk.trs,80-O-f03,80-O,F,284.018,285.429,g_282;em_12_286706;n_4519342-n_4519346;p_240;#=es_1_3484425;[0]=ew_0_1546549,es_1_3484425,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=282#ew_0_1546549,down.  Drumry Road.,'drVm,284.038,284.168,drVmr2j@,drumry, Drumry,284.038,284.458,drVmr2j@,V,284.098,284.128,284.113,289,1444,1999,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,1152,70-O-f03-blib.trs,70-O-f03,70-O,F,2209.69,2210.324,g_102;em_12_99122;n_790974-n_790977;p_35;#=es_1_203328;[0]=ew_0_588322,es_1_203328,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=102#ew_0_588322, Drunk. ,'drVNk,2209.71,2210.13,drVNk,drunk, Drunk. ,2209.71,2210.13,drVNk,V,2209.77,2209.94,2209.855,618,1557,2811,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,1128,70-O-f03-blib.trs,70-O-f03,70-O,F,1893.264,1895.327,g_102;em_12_98887;n_789887-n_789894;p_35;#=es_1_328378;[0]=ew_0_591394,es_1_328378,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=102#ew_0_591394,were   hundreds and,'hVn,1893.284,1893.624,hVndr@dz,hundreds, hundreds,1893.284,1893.824,hVndr@dz,V,1893.404,1893.594,1893.499,370,1596,1762,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,1053,70-O-f03-blib.trs,70-O-f03,70-O,F,123.049,125.072,g_102;em_12_98569;n_783420-n_783426;p_35;#=es_1_389608;[0]=ew_0_593307,es_1_389608,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=102#ew_0_593307, Just dances,'_Vst,123.569,123.729,_Vst,just, Just,123.569,123.729,_Vst,V,123.629,123.669,123.649,753,1957,3195,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,1058,70-O-f03-blib.trs,70-O-f03,70-O,F,167.894,169.097,g_102;em_12_98219;n_783576-n_783582;p_35;#=es_1_389444;[0]=ew_0_587702,es_1_389444,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=102#ew_0_587702, No   just all,'_Vst,167.924,168.204,_Vst,just, just,167.924,168.204,_Vst,V,168.024,168.054,168.039,343,1496,2027,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,1065,70-O-f03-blib.trs,70-O-f03,70-O,F,466.951,467.939,g_102;em_12_98410;n_784745-n_784749;p_35;#=es_1_389460;[0]=ew_0_588001,es_1_389460,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=102#ew_0_588001, Just tae ,'_Vst,466.981,467.281,_Vst,just, Just,466.981,467.281,_Vst,V,467.101,467.141,467.121,669,2029,2843,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,1069,70-O-f03-blib.trs,70-O-f03,70-O,F,596.34,597.743,g_102;em_12_98867;n_785181-n_785187;p_35;#=es_1_389496;[0]=ew_0_588552,es_1_389496,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=102#ew_0_588552, No.   Just an,'_Vst,596.45,596.72,_Vst,just, Just,596.45,596.72,_Vst,V,596.55,596.58,596.565,234,1939,2518,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,1076,70-O-f03-blib.trs,70-O-f03,70-O,F,829.109,832.549,g_102;em_12_98599;n_785996-n_786009;p_35;#=es_1_389544;[0]=ew_0_591310,es_1_389544,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=102#ew_0_591310, No.   Just youth,'_Vst,829.219,829.729,_Vst,just, Just,829.219,829.729,_Vst,V,829.349,829.379,829.364,427,2057,3047,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,1081,70-O-f03-blib.trs,70-O-f03,70-O,F,970.084,973.619,g_102;em_12_98130;n_786510-n_786521;p_35;#=es_1_389456;[0]=ew_0_587845,es_1_389456,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=102#ew_0_587845, Just   just the,'_Vst,970.664,970.894,_Vst,just, just,970.664,970.894,_Vst,V,970.754,970.784,970.769,498,1817,2952,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,1083,70-O-f03-blib.trs,70-O-f03,70-O,F,977.103,979.497,g_102;em_12_98036;n_786536-n_786543;p_35;#=es_1_389520;[0]=ew_0_589635,es_1_389520,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=102#ew_0_589635, Just dancing.,'_Vst,977.153,977.373,_Vst,just, Just,977.153,977.373,_Vst,V,977.213,977.243,977.228,486,1983,2982,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,1121,70-O-f03-blib.trs,70-O-f03,70-O,F,1626.279,1627.957,g_102;em_12_97817;n_788954-n_788960;p_35;#=es_1_389472;[0]=ew_0_588270,es_1_389472,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=102#ew_0_588270,"eh,   Just working",'_Vst,1626.299,1626.479,_Vst,just, Just,1626.299,1626.479,_Vst,V,1626.329,1626.359,1626.344,359,1619,3032,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,1126,70-O-f03-blib.trs,70-O-f03,70-O,F,1871.697,1872.863,g_102;em_12_97813;n_789801-n_789806;p_35;#=es_1_389432;[0]=ew_0_587493,es_1_389432,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=102#ew_0_587493, Just up,'_Vst,1871.737,1871.987,_Vst,just, Just,1871.737,1871.987,_Vst,V,1871.787,1871.817,1871.802,435,1750,2870,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,1142,70-O-f03-blib.trs,70-O-f03,70-O,F,2095.153,2100.51,g_102;em_12_97789;n_790536-n_790554;p_35;#=es_1_389464;[0]=ew_0_588045,es_1_389464,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=102#ew_0_588045, Just these,'_Vst,2095.223,2095.483,_Vst,just, Just,2095.223,2095.483,_Vst,V,2095.333,2095.373,2095.353,508,1816,1977,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,1168,70-O-f03-blib.trs,70-O-f03,70-O,F,2368.569,2371.694,g_102;em_12_98265;n_791554-n_791565;p_35;#=es_1_389512;[0]=ew_0_589463,es_1_389512,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=102#ew_0_589463,just   just a,'_Vst,2368.629,2368.839,_Vst,just, just,2368.629,2368.839,_Vst,V,2368.729,2368.769,2368.749,509,1384,1877,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,1080,70-O-f03-blib.trs,70-O-f03,70-O,F,969.186,970.084,g_102;em_12_98127;n_786507-n_786510;p_35;#=es_1_389560;[0]=ew_0_591631,es_1_389560,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=102#ew_0_591631, No.   Just   just,'_Vst,969.346,969.626,_Vst,just, Just ,969.346,969.626,_Vst,V,969.486,969.516,969.501,505,2036,2850,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,1127,70-O-f03-blib.trs,70-O-f03,70-O,F,1882.931,1883.918,g_102;em_12_97906;n_789850-n_789855;p_35;#=es_1_490602;[0]=ew_0_592938,es_1_490602,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=102#ew_0_592938,us.   None of,'nVn,1882.951,1883.121,nVn,none, None,1882.951,1883.121,nVn,V,1882.981,1883.021,1883.001,547,1737,2592,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,1098,70-O-f03-blib.trs,70-O-f03,70-O,F,1275.463,1276.26,g_102;em_12_98214;n_787673-n_787677;p_35;#=es_1_490599;[0]=ew_0_591056,es_1_490599,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=102#ew_0_591056," No   None, all ",'nVn,1275.633,1275.853,nVn,none," None,",1275.633,1275.853,nVn,V,1275.703,1275.803,1275.753,580,1899,2096,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,1131,70-O-f03-blib.trs,70-O-f03,70-O,F,1935.024,1936.537,g_102;em_12_99177;n_790031-n_790036;p_35;#=es_1_515229;[0]=ew_0_591443,es_1_515229,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=102#ew_0_591443, One of,'wVn,1935.454,1935.684,wVn,one, One,1935.454,1935.684,wVn,V,1935.524,1935.634,1935.579,657,1512,2616,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,1074,70-O-f03-blib.trs,70-O-f03,70-O,F,735.549,740.461,g_102;em_12_99043;n_785662-n_785673;p_35;#=es_1_630662;[0]=ew_0_589067,es_1_630662,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=102#ew_0_589067," you   somebody would,",'sVm,736.449,736.759,sVmb@dI,somebody, somebody,736.449,737.009,sVmb@dI,V,736.579,736.729,736.654,704,1577,2651,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,1096,70-O-f03-blib.trs,70-O-f03,70-O,F,1245.643,1247.796,g_102;em_12_97968;n_787553-n_787558;p_35;#=es_1_630669;[0]=ew_0_589796,es_1_630669,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=102#ew_0_589796,Just   somebody that,'sVm,1246.113,1246.503,sVmb@dI,somebody, somebody,1246.113,1246.853,sVmb@dI,V,1246.243,1246.373,1246.308,837,1470,2776,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,1048,70-O-f03-blib.trs,70-O-f03,70-O,F,73.375,74.436,g_102;em_12_98340;n_783212-n_783217;p_35;#=es_1_633724;[0]=ew_0_588849,es_1_633724,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=102#ew_0_588849, a   something the,'sVm,73.395,73.595,sVmTIN,something, something,73.395,73.835,sVmTIN,V,73.455,73.525,73.49,658,1005,1852,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,1091,70-O-f03-blib.trs,70-O-f03,70-O,F,1110.742,1112.33,g_102;em_12_98372;n_787044-n_787051;p_35;#=es_1_634811;[0]=ew_0_592749,es_1_634811,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=102#ew_0_592749,potato   sometimes it,'sVm,1110.772,1110.982,sVmt2mz,sometimes, sometimes,1110.772,1111.192,sVmt2mz,V,1110.832,1110.952,1110.892,658,1591,2703,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,405,00-O-f03-mw74.trs,00-O-f03,00-O,F,2350.748,2352.796,g_224;em_12_223023;n_3362118-n_3362126;p_114;#=es_1_2500623;[0]=ew_0_1213409,es_1_2500623,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=224#ew_0_1213409,up above us,'bVv,2351.728,2352.028,@bVv,above,above,2351.638,2352.028,@bVv,V,2351.778,2351.918,2351.848,609,1159,3082,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,489,00-O-f04-mw74.trs,00-O-f04,00-O,F,2744.697,2746.974,g_146;em_12_138945;n_1883044-n_1883052;p_215;#=es_1_1192138;[0]=ew_0_798173,es_1_1192138,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=146#ew_0_798173,corner above a,'bVv,2746.177,2746.537,@bVv,above,above,2746.027,2746.537,@bVv,V,2746.217,2746.297,2746.257,452,1166,3076,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,515,00-O-m01-mw74.trs,00-O-m01,00-O,M,202.817,206.934,g_120;em_12_116865;n_921561-n_921583;p_118;#=es_1_11364;[0]=ew_0_694692,es_1_11364,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=120#ew_0_694692,shelf above it,'bVv,205.317,205.507,@bVv,above,above,205.237,205.507,@bVv,V,205.357,205.427,205.392,555,965,2750,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,519,00-O-m01-mw74.trs,00-O-m01,00-O,M,294.741,296.117,g_120;em_12_117728;n_921971-n_921977;p_118;#=es_1_11360;[0]=ew_0_693047,es_1_11360,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=120#ew_0_693047,and above the,'bVv,295.171,295.381,@bVv,above,above,295.091,295.381,@bVv,V,295.211,295.321,295.266,628,1013,3020,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,520,00-O-m01-mw74.trs,00-O-m01,00-O,M,306.898,311.027,g_120;em_12_117162;n_922014-n_922031;p_118;#=es_1_11352;[0]=ew_0_690353,es_1_11352,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=120#ew_0_690353,"and above that,",'bVv,307.168,307.418,@bVv,above,above,307.118,307.418,@bVv,V,307.228,307.348,307.288,616,1079,2743,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,521,00-O-m01-mw74.trs,00-O-m01,00-O,M,325.671,328.144,g_120;em_12_117672;n_922087-n_922096;p_118;#=es_1_11372;[0]=ew_0_695634,es_1_11372,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=120#ew_0_695634,then above that,'bVv,326.371,326.621,@bVv,above,above,326.291,326.621,@bVv,V,326.421,326.511,326.466,631,1050,2756,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,534,00-O-m01-mw74.trs,00-O-m01,00-O,M,480.907,482.715,g_120;em_12_117094;n_922769-n_922778;p_118;#=es_1_11368;[0]=ew_0_694949,es_1_11368,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=120#ew_0_694949,then above that,'bVv,481.317,481.527,@bVv,above,above,481.237,481.527,@bVv,V,481.367,481.467,481.417,614,1044,2891,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,670,00-O-m01-mw74.trs,00-O-m01,00-O,M,2504.632,2506.342,g_120;em_12_117599;n_931823-n_931832;p_118;#=es_1_11356;[0]=ew_0_692586,es_1_11356,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=120#ew_0_692586,from above,'bVv,2505.912,2506.152,@bVv,above,above,2505.882,2506.152,@bVv,V,2505.962,2506.042,2506.002,460,1049,2796,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,797,00-O-m05-dock.trs,00-O-m05,00-O,M,1452.469,1455.506,g_217;em_12_214222;n_3188929-n_3188939;p_212;#=es_1_2325953;[0]=ew_0_1161364,es_1_2325953,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=217#ew_0_1161364,negotiate above that,'bVv,1454.919,1455.149,@bVv,above,above,1454.789,1455.149,@bVv,V,1454.969,1455.049,1455.009,550,824,2808,
_^'.*V[^rl].*$_NOT_^(up)|(but)$_^V$,1366,70-O-m03-edia.trs,70-O-m03,70-O,M,733.99,736.721,g_231;em_12_232552;n_3524876-n_3524884;p_41;#=es_1_2623927;[0]=ew_0_1259176,es_1_2623927,http://gulpminer.arts.gla.ac.uk/real-time/transcript?ag_id=231#ew_0_1259176,up above the,'bVv,735.5,735.66,@bVv,above,above,735.36,735.66,@bVv,V,735.53,735.63,735.58,623,752,2306,
